Country_Code,Country_Name
32,Argentina
36,Australia
246,Finland
348,Hungary
392,Japan
410,South Korea
484,Mexico
710,South Africa
752,Sweden
840,United States
76,Brazil
112,Belarus
152,Chile
156,China
203,Czech Rep.
356,India
566,Nigeria
616,Poland
643,Russia
703,Slovakia
724,Spain
756,Switzerland
792,Turkey
8,Albania
31,Azerbaijan
50,Bangladesh
51,Armenia
100,Bulgaria
101,SrpSka Republic
158,Taiwan
170,Colombia
191,Croatia
214,Dominican Rep.
222,El Salvador
233,Estonia
268,Georgia
276,Germany
428,Latvia
440,Lithuania
498,Moldova
554,New Zealand
578,Norway
586,Pakistan
604,Peru
608,Philippines
630,Puerto Rico
642,Romania
705,Slovenia
804,Ukraine
807,Macedonia
826,United Kingdom
858,Uruguay
862,Venezuela
911,Serbia
912,Montenegro
914,Bosnia
12,Algeria
70,Bosnia Herzegovina
124,Canada
360,Indonesia
364,Iran
368,Iraq
376,Israel
400,Jordan
417,Kyrgyzstan
504,Morocco
682,Saudi Arabia
702,Singapore
704,Vietnam
716,Zimbabwe
800,Uganda
818,Egypt
834,Tanzania
20,Andorra
196,Cyprus
231,Ethiopia
250,France
466,Mali
528,Netherlands
646,Rwanda
688,Serbia
764,Thailand
780,Trinidad and Tobago
854,Burkina Faso
894,Zambia
900,West Germany
901,East Germany
