Country_Code,Country_Name
20,Andorra
32,Argentina
36,Australia
76,Brazil
100,Bulgaria
124,Canada
152,Chile
156,China
158,Taiwan
170,Colombia
196,Cyprus
231,Ethiopia
246,Finland
250,France
268,Georgia
348,Hungary
392,Japan
410,South Korea
466,Mali
484,Mexico
498,Moldova
528,Netherlands
554,New Zealand
578,Norway
616,Poland
642,Romania
643,Russia
646,Rwanda
688,Serbia
705,Slovenia
752,Sweden
764,Thailand
780,Trinidad and Tobago
792,Turkey
804,Ukraine
826,United Kingdom
840,United States
854,Burkina Faso
858,Uruguay
894,Zambia
900,West Germany
901,East Germany
